ID,Tribe,Genus,Stage,Rep,GenusStage
0,,Mem,3,1,Mem3
1,,Mem,3,2,Mem3
2,,Mem,3,3,Mem3
3,,Mem,3,4,Mem3
4,,Mem,3,5,Mem3
5,,Mem,3,6,Mem3
6,,Mem,3,7,Mem3
7,,Mem,3,8,Mem3
8,,Mem,3,9,Mem3
9,,Mem,3,10,Mem3
10,,Mem,3,11,Mem3
11,,Mem,3,12,Mem3
