ID,Tribe,Genus,Stage,Rep,GenusStage
0,,Aet,2,1,Aet2
2,,Aet,2,2,Aet2
3,,Aet,2,3,Aet2
4,,Aet,2,4,Aet2
5,,Aet,2,5,Aet2
6,,Aet,2,6,Aet2
7,,Aet,2,7,Aet2
8,,Aet,2,8,Aet2
9,,Aet,2,9,Aet2
10,,Aet,2,10,Aet2
11,,Aet,2,11,Aet2
12,,Ech,2,1,Ech2
13,,Ech,2,2,Ech2
14,,Ech,2,3,Ech2
15,,Ech,2,4,Ech2
16,,Ech,2,5,Ech2
17,,Eca,2,1,Eca2
18,,Eca,2,2,Eca2
19,,Eca,2,3,Eca2
20,,Eca,2,4,Eca2
21,,Eca,2,5,Eca2
22,,Eca,2,6,Eca2
23,,Eca,2,7,Eca2
24,,Eca,2,8,Eca2
25,,Eca,2,9,Eca2
26,,Mem,2,1,Mem2
27,,Mem,2,2,Mem2
28,,Mem,2,3,Mem2
29,,Mem,2,4,Mem2
30,,Mem,2,5,Mem2
31,,Mem,2,6,Mem2
33,,Mem,2,7,Mem2
34,,Mem,2,8,Mem2
45,,Mem,2,9,Mem2
35,,Met,2,1,Met2
36,,Met,2,2,Met2
37,,Met,2,3,Met2
38,,Met,2,4,Met2
39,,Met,2,5,Met2
40,,Pol,2,1,Pol2
41,,Pol,2,2,Pol2
42,,Pol,2,3,Pol2
43,,Pol,2,4,Pol2
44,,Pol,2,5,Pol2
,,,,,
,,,,,
,,,, ,
