ID,Tribe,Genus,Stage,Rep,GenusStage
0,,Aet,5,1,Aet5
1,,Aet,5,2,Aet5
2,,Aet,5,3,Aet5
4,,Aet,5,4,Aet5
5,,Aet,5,5,Aet5
6,,Aet,5,6,Aet5
7,,Aet,5,7,Aet5
8,,Ech,5,1,Ech5
9,,Ech,5,2,Ech5
10,,Ech,5,3,Ech5
11,,Ech,5,4,Ech5
12,,Ech,5,5,Ech5
14,,Eca,5,1,Eca5
15,,Eca,5,2,Eca5
16,,Eca,5,3,Eca5
17,,Eca,5,4,Eca5
18,,Eca,5,5,Eca5
19,,Eca,5,6,Eca5
20,,Eca,5,7,Eca5
21,,Eca,5,8,Eca5
22,,Eca,5,9,Eca5
23,,Eca,5,10,Eca5
24,,Eca,5,11,Eca5
26,,Mem,5,1,Mem5
27,,Mem,5,2,Mem5
28,,Mem,5,3,Mem5
29,,Mem,5,4,Mem5
30,,Mem,5,5,Mem5
31,,Mem,5,6,Mem5
32,,Mem,5,7,Mem5
33,,Mem,5,8,Mem5
34,,Mem,5,9,Mem5
35,,Mem,5,10,Mem5
36,,Mem,5,11,Mem5
38,,Met,5,1,Met5
39,,Met,5,2,Met5
40,,Met,5,3,Met5
41,,Met,5,4,Met5
42,,Met,5,5,Met5
43,,Met,5,6,Met5
44,,Met,5,7,Met5
45,,Met,5,8,Met5
46,,Met,5,9,Met5
47,,Met,5,10,Met5
48,,Pol,5,1,Pol5
49,,Pol,5,2,Pol5
50,,Pol,5,3,Pol5
51,,Pol,5,4,Pol5
52,,Pol,5,5,Pol5
