ID,Tribe,Genus,Stage,Rep,GenusStage
1,Membracini,Mem,1,1,Mem1
2,Membracini,Mem,1,2,Mem1
3,Membracini,Mem,1,3,Mem1
4,Membracini,Mem,1,4,Mem1
5,Membracini,Mem,1,5,Mem1
6,Membracini,Mem,1,6,Mem1
