ID,Tribe,Genus,Stage,Rep,GenusStage
0,,Aet,1,1,Aet1
1,,Aet,1,2,Aet1
2,,Aet,1,3,Aet1
4,,Aet,1,4,Aet1
5,,Aet,1,5,Aet1
6,,Aet,1,6,Aet1
7,,Aet,1,7,Aet1
8,,Aet,1,8,Aet1
9,,Aet,1,9,Aet1
10,,Aet,1,10,Aet1
11,,Aet,1,11,Aet1
12,,Aet,1,12,Aet1
13,,Aet,1,13,Aet1
15,,Eca,1,1,Eca1
16,,Eca,1,2,Eca1
17,,Eca,1,3,Eca1
18,,Eca,1,4,Eca1
19,,Eca,1,5,Eca1
21,,Eca,1,6,Eca1
23,,Eca,1,7,Eca1
24,,Eca,1,8,Eca1
27,,Eca,1,9,Eca1
28,,Ech,1,1,Ech1
29,,Ech,1,2,Ech1
30,,Ech,1,3,Ech1
31,,Ech,1,4,Ech1
32,,Ech,1,5,Ech1
33,,Met,1,1,Met1
34,,Met,1,2,Met1
35,,Met,1,3,Met1
36,,Met,1,4,Met1
37,,Met,1,5,Met1
38,,Pol,1,1,Pol1
39,,Pol,1,2,Pol1
40,,Pol,1,3,Pol1
41,,Pol,1,4,Pol1
42,,Pol,1,5,Pol1
