ID,Tribe,Genus,Stage,Rep,GenusStage
77,Aetalionini,Aet,Ad,1,AetAd
86,Polyglyptini,Eca,Ad,1f,EcaAd
87,Polyglyptini,Eca,Ad,10f,EcaAd
88,Polyglyptini,Eca,Ad,2f,EcaAd
89,Polyglyptini,Eca,Ad,3f,EcaAd
90,Polyglyptini,Eca,Ad,4f,EcaAd
91,Polyglyptini,Eca,Ad,5f,EcaAd
92,Polyglyptini,Eca,Ad,6f,EcaAd
93,Polyglyptini,Eca,Ad,7f,EcaAd
94,Polyglyptini,Eca,Ad,9f,EcaAd
95,Polyglyptini,Eca,Ad,1m,EcaAd
96,Polyglyptini,Eca,Ad,10m,EcaAd
97,Polyglyptini,Eca,Ad,2m,EcaAd
98,Polyglyptini,Eca,Ad,3m,EcaAd
99,Polyglyptini,Eca,Ad,4m,EcaAd
100,Polyglyptini,Eca,Ad,5m,EcaAd
101,Polyglyptini,Eca,Ad,6m,EcaAd
102,Polyglyptini,Eca,Ad,7m,EcaAd
103,Polyglyptini,Eca,Ad,8m,EcaAd
104,Aetalionini,Eca,Ad,9m,EcaAd
